"Account","Account"
"Compare", "Compare"
"Cart", "Cart"
"Total", "Total"
"View shopping cart", "View shopping cart"
"Search", "Search"
"View All", "View All"
"Log In", "Log In"
"Log Out", "Log Out"
"Wishlist", "Wishlist"
"Checkout", "Checkout"
"MENU", "MENU"
"Add to Cart", "Add to Cart"
"Add to Compare", "Add to Compare"
"Add to Wish List", "Add to Wish List"
"scroll to view content", "scroll to view content"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "TWITTER FEEDS"
"Video", "Video"
"Find Us", "Find Us"
"Sale", "Sale"
"New", "New"
"Quick View", "Quick View"
"NEWSLETTER SIGNUP", "NEWSLETTER SIGNUP"
"Enter your email and we'll send you a coupon with 10% off your next order.", "Enter your email and we'll send you a coupon with 10% off your next order."
"Your E-mail...", "Your E-mail..."
"Select Store:", "Select Store:"
"Sign Up for Our Newsletter to receive latest news and events.", "Sign Up for Our Newsletter to receive latest news and events."
"SHOP BY CATEGORIES", "SHOP BY CATEGORIES"
"This limited  offer ends in", "This limited  offer ends in"
"Years", "Years"
"Year", "Year"
"Months", "Months"
"Month", "Month"
"Weeks", "Weeks"
"Week", "Week"
"Days", "Days"
"Day", "Day"
"Hours", "Hours"
"Hour", "Hour"
"Minutes", "Minutes"
"Minute", "Minute"
"Seconds", "Seconds"
"Second", "Second"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "Quantity"
"BUY NOW", "BUY NOW"
"Description", "Description"
"Description", "Description"
"Reviews", "Reviews"
"Tags", "Tags"
"View", "View"
"SEND MESSAGE", "SEND MESSAGE"
"Product", "Product"
"Price", "Price"
"Quantity", "Quantity"
"View full info", "View full info"
"View", "View"
"Read More", "Read More"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Read More <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "Name:"
"E-Mail:", "E-Mail:"
"Comment", "Comment"
"Website:", "Website:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "Your browser doesn't support 3D gallery. Please update to modern browser."
"all", "all"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","My Wishlist (%d item)"
"My Wishlist (%d items)","My Wishlist (%d items)"
"Cart (%s item)","Cart ( %s item )"
"Cart (%s items)","Cart ( %s items )"
"Compare (0)","Compare (0)"
"Compare (%d items)","Compare (%d items)"
"Compare (%d item)","Compare (%d item)"
"was added to your cart","was added to your cart"
